Hood_ID,Neighbourhood,Assault_Rate2018,Assault_Rate2019,Assault_Rate2020
129,Agincourt North,259.7656,259.4823,218.2301
128,Agincourt South-Malvern West,454.598,453.4723,481.6464
20,Alderwood,233.5721,275.8409,279.414
95,Annex,811.145,899.0685,792.9642
42,Banbury-Don Mills,258.4326,239.5406,266.1451
34,Bathurst Manor,400.424,340.8631,329.022
76,Bay Street Corridor,2562.042,2855.956,1573.651
52,Bayview Village,251.4705,277.7548,278.237
49,Bayview Woods-Steeles,298.0301,323.9274,235.378
39,Bedford Park-Nortown,164.4077,223.6785,196.0407
112,Beechborough-Greenbrook,761.6037,993.1896,729.3127
127,Bendale,801.0303,847.6674,659.1395
122,Birchcliffe-Cliffside,844.5085,866.8705,587.2136
24,Black Creek,916.1443,952.0084,1210.894
69,Blake-Jones,762.5139,803.4084,675.7572
108,Briar Hill-Belgravia,603.0883,530.2783,556.7064
41,Bridle Path-Sunnybrook-York Mills,313.1728,406.5041,411.2594
57,Broadview North,486.6381,563.0355,501.1316
30,Brookhaven-Amesbury,526.6835,533.4471,465.8056
71,Cabbagetown-South St.James Town,889.6078,1118.926,1106.282
109,Caledonia-Fairbank,561.21,696.6673,466.0266
96,Casa Loma,372.3449,447.3531,494.5679
133,Centennial Scarborough,323.8297,339.4057,313.5224
75,Church-Yonge Corridor,2249.688,2421.777,1937.422
120,Clairlea-Birchmount,983.4803,991.5014,627.9435
33,Clanton Park,447.5274,469.8683,437.52
123,Cliffcrest,809.3367,787.9904,626.5876
92,Corso Italia-Davenport,624.2449,618.8448,587.8856
66,Danforth,1091.338,1051.504,627.8373
59,Danforth East York,436.8503,465.5493,303.9019
47,Don Valley Village,439.7599,492.7296,326.464
126,Dorset Park,761.306,617.3071,476.877
93,Dovercourt-Wallace Emerson-Junction,685.8046,725.93,634.37
26,Downsview-Roding-CFB,1137.06,1141.529,915.8308
83,Dufferin Grove,858.9152,628.9308,614.4035
62,East End-Danforth,818.8015,817.9512,636.0332
9,Edenbridge-Humber Valley,142.9593,197.594,181.6221
138,Eglinton East,778.1457,811.6155,614.8282
5,Elms-Old Rexdale,565.828,722.3114,477.8497
32,Englemount-Lawrence,403.1755,463.754,410.5385
11,Eringate-Centennial-West Deane,184.3979,228.2179,210.801
13,Etobicoke West Mall,356.0408,389.1051,481.9461
44,Flemingdon Park,624.079,648.6533,527.5473
102,Forest Hill North,291.3056,303.9964,301.7368
101,Forest Hill South,161.7434,222.9746,200.8032
25,Glenfield-Jane Heights,909.3166,1039.208,844.6611
65,Greenwood-Coxwell,775.9074,795.2027,736.9102
140,Guildwood,451.099,284.468,327.746
53,Henry Farm,370.981,391.2587,372.5882
88,High Park North,462.924,409.7682,342.0613
87,High Park-Swansea,285.1006,383.9361,279.3085
134,Highland Creek,372.9951,467.358,236.6779
48,Hillcrest Village,408.3916,413.9758,256.1447
8,Humber Heights-Westmount,314.5991,315.4051,186.6126
21,Humber Summit,928.9576,954.8872,743.0524
22,Humbermede,645.4756,933.6224,494.2241
106,Humewood-Cedarvale,286.477,288.2767,264.9174
125,Ionview,652.6316,558.1915,596.9321
14,Islington-City Centre West,487.261,434.4953,431.2271
90,Junction Area,884.4919,608.5324,640.0819
110,Keelesdale-Eglinton West,613.8107,479.1124,663.9004
124,Kennedy Park,1214.575,1212.753,950.7253
78,Kensington-Chinatown,2302.137,1945.052,1995.66
6,Kingsview Village-The Westway,439.3597,423.2713,420.2762
15,Kingsway South,332.7284,306.3544,116.2002
117,L'Amoreaux,345.3348,412.8854,397.7823
114,Lambton Baby Point,300.2642,310.1515,367.6035
38,Lansing-Westgate,390.1543,393.5901,534.553
105,Lawrence Park North,136.4434,243.9807,272.9985
103,Lawrence Park South,86.98354,159.0895,168.8273
56,Leaside-Bennington,200.5795,174.959,155.688
84,Little Portugal,494.0305,483.2863,450.9329
19,Long Branch,518.7477,540.876,579.3843
132,Malvern,584.3414,708.9783,485.8249
29,Maple Leaf,299.4012,258.9955,274.0477
12,Markland Wood,209.3383,144.6524,376.8168
130,Milliken,261.7801,351.4021,294.8639
17,Mimico (includes Humber Bay Shores),1317.997,856.2594,738.2741
135,Morningside,711.0677,970.0933,551.4608
73,Moss Park,2442.04,2750.795,3162.518
115,Mount Dennis,619.5615,632.7808,482.8947
2,Mount Olive-Silverstone-Jamestown,736.5163,789.8313,567.483
99,Mount Pleasant East,221.1637,320.009,228.1326
104,Mount Pleasant West,390.4969,412.4184,418.3524
18,New Toronto,860.938,897.5499,693.8352
50,Newtonbrook East,471.3413,463.9175,309.9989
36,Newtonbrook West,670.4528,644.9106,693.0883
82,Niagara,625.1061,630.6823,469.2732
68,North Riverdale,434.2581,567.0927,246.325
74,North St.James Town,890.9355,1139.278,1126.487
54,O'Connor-Parkview,680.3066,717.2593,585.4336
121,Oakridge,1106.445,1047.904,997.7756
107,Oakwood Village,566.0123,704.6022,504.6927
58,Old East York,641.5563,512.9257,295.4059
80,Palmerston-Little Italy,563.9736,599.0845,340.1814
45,Parkwoods-Donalda,383.1935,422.0193,392.0851
23,Pelmo Park-Humberlea,643.1144,676.8614,447.9557
67,Playter Estates-Danforth,698.872,1010.962,932.5421
46,Pleasant View,277.6269,304.8963,243.2368
10,Princess-Rosethorn,169.2907,240.285,195.2648
72,Regent Park,1133.843,1399.763,1127.104
4,Rexdale-Kipling,719.1625,561.34,432.6273
111,Rockcliffe-Smythe,565.4316,628.637,538.9247
86,Roncesvalles,639.0787,746.5027,746.5937
98,Rosedale-Moore Park,588.73,565.9236,620.4364
131,Rouge,394.8807,375.3694,295.3337
89,Runnymede-Bloor West Village,320.8152,429.9066,315.0482
28,Rustic,696.3655,640.241,557.8282
139,Scarborough Village,1012.673,972.5016,982.5569
85,South Parkdale,864.5287,1006.88,978.8535
70,South Riverdale,987.5207,835.8129,701.4061
40,St.Andrew-Windfields,312.7606,351.467,249.1281
116,Steeles,118.6648,177.1913,156.07
16,Stonegate-Queensway,323.2961,307.3277,379.4236
118,Tam O'Shanter-Sullivan,450.2802,365.6431,437.1038
61,Taylor-Massey,754.1661,719.7291,684.6436
63,The Beaches,434.3629,355.1628,359.5275
3,Thistletown-Beaumond Heights,490.1961,688.642,511.5089
55,Thorncliffe Park,415.1943,516.0898,399.6938
81,Trinity-Bellwoods,709.7792,649.4948,574.7126
79,University,1700.722,1649.013,1019.803
43,Victoria Village,599.7731,666.2403,594.5804
77,Waterfront Communities-The Island,1143.316,1000.349,862.1082
136,West Hill,1468.201,1518.305,1132.495
1,West Humber-Clairville,883.3478,702.0238,667.8696
35,Westminster-Branson,397.8156,389.9961,322.1467
113,Weston,839.3782,981.7386,1018.116
91,Weston-Pellam Park,738.1639,962.7459,819.9437
119,Wexford/Maryvale,715.9661,827.3673,582.6413
51,Willowdale East,363.2599,309.9704,238.5232
37,Willowdale West,501.8888,561.8273,424.0969
7,Willowridge-Martingrove-Richview,328.0784,399.1093,397.3839
137,Woburn,690.1055,754.3291,598.8745
64,Woodbine Corridor,688.2469,666.6168,504.3014
60,Woodbine-Lumsden,486.9734,399.0809,373.0894
94,Wychwood,479.6474,438.6523,530.0243
100,Yonge-Eglinton,519.1536,710.6442,682.6974
97,Yonge-St.Clair,207.2846,253.8071,163.3175
27,York University Heights,1230.33,1279.861,1126.267
31,Yorkdale-Glen Park,1086.558,1237.405,888.3827